transaction_id,transaction_date,vendor_name,category,amount,amount_clean,transaction_status
1,2020-01-01,Slack,Software,87.00,87.00,Completed
2,2020-01-01,Zoom,Software,149.00,149.00,Completed
3,2020-01-01,Notion,Software,Declined,NULL,Declined
4,2020-01-01,Mailchimp,Marketing,Declined,NULL,Declined
5,2020-01-01,"American Airlines",Travel,2019.68,2019.68,Completed
6,2020-01-01,Expensify,Software,50.00,50.00,Completed
7,2020-01-01,"Office Depot","Office Supplies",408,408.00,Completed
8,2020-01-01,Stripe,Software,59,59.00,Completed
9,2020-01-02,WeWork,Rent,3200,3200.00,Completed
10,2020-01-02,Asana,Software,Refunded,NULL,Refunded
11,2020-01-02,HubSpot,Marketing,499.86,499.86,Completed
12,2020-01-03,Microsoft,Software,440,440.00,Completed
13,2020-01-03,Notion,Software,Waived,NULL,Waived
14,2020-01-03,Mailchimp,Marketing,299.00,299.00,Completed
15,2020-01-03,Slack,Software,87,87.00,Completed
16,2020-01-03,"Google Ads",Marketing,1799,1799.00,Completed
17,2020-01-03,"American Airlines",Travel,2822.63,2822.63,Completed
18,2020-01-03,HubSpot,Marketing,983.3,983.30,Completed
19,2020-01-04,QuickBooks,Software,139,139.00,Completed
20,2020-01-04,"Office Depot","Office Supplies",394.72,394.72,Completed
21,2020-01-04,Salesforce,Software,N/A,NULL,N/A
22,2020-01-04,"American Airlines",Travel,1081.1,1081.10,Completed
23,2020-01-04,QuickBooks,Software,109.65,109.65,Completed
24,2020-01-05,HubSpot,Marketing,831.2,831.20,Completed
25,2020-01-05,Notion,Software,16.00,16.00,Completed
26,2020-01-05,Dropbox,Software,19.94,19.94,Completed
27,2020-01-05,Zoom,Software,149.0,149.00,Completed
28,2020-01-05,Asana,Software,34.5,34.50,Completed
29,2020-01-05,Dropbox,Software,17.51,17.51,Completed
30,2020-01-05,DHL,Shipping,187,187.00,Completed
31,2020-01-05,"Office Depot","Office Supplies",Refunded,NULL,Refunded
32,2020-01-06,Expensify,Software,50,50.00,Completed
33,2020-01-06,Dropbox,Software,22.62,22.62,Completed
34,2020-01-06,QuickBooks,Software,88.80,88.80,Completed
35,2020-01-06,Zoom,Software,149.00,149.00,Completed
36,2020-01-07,Salesforce,Software,Pending,NULL,Pending
37,2020-01-07,Microsoft,Software,233.81,233.81,Completed
38,2020-01-07,WeWork,Rent,3200.00,3200.00,Completed
39,2020-01-07,Zoom,Software,149.00,149.00,Completed
40,2020-01-07,Stripe,Software,59.00,59.00,Completed
41,2020-01-07,HubSpot,Marketing,1004,1004.00,Completed
42,2020-01-07,Staples,"Office Supplies",398.3,398.30,Completed
43,2020-01-08,Expensify,Software,50,50.00,Completed
44,2020-01-08,Amazon,"Office Supplies",1217.79,1217.79,Completed
45,2020-01-08,Amazon,"Office Supplies",234.89,234.89,Completed
46,2020-01-08,WeWork,Rent,3200.00,3200.00,Completed
47,2020-01-08,Dropbox,Software,17.38,17.38,Completed
48,2020-01-08,HubSpot,Marketing,505.9,505.90,Completed
49,2020-01-08,Mailchimp,Marketing,299.00,299.00,Completed
50,2020-01-09,Slack,Software,87.0,87.00,Completed
51,2020-01-09,Expensify,Software,Waived,NULL,Waived
52,2020-01-09,QuickBooks,Software,62,62.00,Completed
53,2020-01-10,Mailchimp,Marketing,299.00,299.00,Completed
54,2020-01-10,"LinkedIn Ads",Marketing,775.23,775.23,Completed
55,2020-01-10,Expensify,Software,50.00,50.00,Completed
56,2020-01-11,QuickBooks,Software,179.91,179.91,Completed
57,2020-01-11,"Office Depot","Office Supplies",428.9,428.90,Completed
58,2020-01-11,AWS,Software,1225.99,1225.99,Completed
59,2020-01-12,Staples,"Office Supplies",50.8,50.80,Completed
60,2020-01-12,Microsoft,Software,298.1,298.10,Completed
61,2020-01-12,Zoom,Software,149.00,149.00,Completed
